Content	Topic
Anyone who wants can pay money to advertise, but don't bother with me.	Yi He’s Mic Drop, Yi He’s Twitter Roast
“We will ensure our own fairness and will not participate in such games, and will continue to report honestly to auditors and other regulatory authorities.”	Maker vs Maker Showdown, Yi He’s Mic Drop, Regulatory Face-Off, Regulators Closing In, Yi He’s Twitter Roast
Yi He made another statement after this post.	Yi He’s Mic Drop, Crypto Clapback, Yi He’s Twitter Roast
Stating that WSJ has consistently targeted Binance, Yi He said, “I would like to thank WSJ for its long-term investment in Binance. Because WSJ has been consistently reporting about us for a long time. “I am grateful to them for saving us their budget. However, while reporting this kind of news, WSJ did not report that Binance was assisting law enforcement and assisting in the arrest of Zkasino's main culprit. This shows that WSJ acted with bias.” said.	Binance Whistleblower Drama, Maker vs Maker Showdown, Yi He’s Mic Drop, WSJ Bias Exposed, Crypto Clapback, Hashtag Mania, Regulatory Face-Off, Fraud Alert Headlines, PR Powerplay, Market Watchdog Mode, Regulators Closing In, Yi He’s Twitter Roast
#Binance #BNB #Bitcoin #BTC #Crypto	Binance Whistleblower Drama, Hashtag Mania, PR Powerplay
People are inevitably influenced by their own culture, background, and biases. I am very grateful to the WSJ for their consistent and long-term devotion to Binance, which has greatly increased our exposure and saved us a lot of marketing…	Binance Whistleblower Drama, Yi He’s Mic Drop, WSJ Bias Exposed, Crypto Clapback, Hashtag Mania, Altcoin Price Shenanigans, Fraud Alert Headlines, PR Powerplay, Crypto Price Wars, Yi He’s Twitter Roast
— Yi He (@heyibinance) May 9, 2024	Binance Whistleblower Drama, Yi He’s Mic Drop, Hashtag Mania, PR Powerplay, Yi He’s Twitter Roast
Before I joined the violence, I was the killer officer, and I joined the Internet company as a working VP	Journey, Growth
So I was the teacher assistant at a different time job, and finally I found myself in the industry	Journey
When I was four years old and I'm very old, I asked my daddy and mommy to send me to school	Education
In my hometown, kids are 60 years old and can be the school student	Education
So I'm joined to the school is already another kid and still keep good results	Growth, Education
I think that's 20-40	He Yi
I hiring CZ joined another paper company	Growth
After nine months or ten months, CZ left	He Yi
After that, I left also	He Yi
I think in that 2017, CZ created a violence and he asked me to join the violence	Growth
So that means I hiring him before and he gave back	He Yi
Because I want to grow some bottom left or limited	He Yi
I mean, for everyone, when I talk with teams, friends, I tell them something by yourself and try to grow all limited	Leadership
You know, you can achieve a lot of leverage, believe	Growth
I think just because as well of the old green and the industry and not trade	Journey
So for this reason, I have a lot of purple from very early	He Yi
So when the market says rice and the token price rise, I think many years ago I'm now working for mine	He Yi
And I think I see the awesome	He Yi
I think it's for finance the biggest challenge always a good candidate because we are girls very fast and a lot of people now really know about the crypto industry so for this reason it's really hard to do more education about the team, about the industry and especially we have special culture and even some people really have good experience of the culture not match	Journey, Education, Leadership, Challenge, Health, Insight, Awareness
And for now, I think that we try to hire some people and do some training	Awareness
Make sure the culture is fit	Education, Challenge, Awareness
I think experience or time that we can train, but culture is hard to train	Education, Challenge, Insight
I think a lot of times people always kill me as a female leader and how to use your female skill or something	Leadership
But I always said, if you are a founder, if you are a founder, or like a high-level leader, in fact, I don't think the female skill really helps you	Leadership
Because no one will because you are a female founder	Leadership
And just say that you go first, I gave you the mortgage here, you don't get a buy in the right	He Yi
And then when you join to a very strong competition in the industry, when you're at the startup funder, you need to forget your famous	Journey, Growth, Passion
I think the most important part is about culture	Education, Challenge, Passion
As your family, your father, mother, your friend, your teacher, they just tell you, you need how to continue your life, you need learning something to tell you	Education
But that's not your choice	He Yi
That's because you're	He Yi
culture, getting training, letting you as a woman	Education, Challenge, Awareness
So that's a problem	He Yi
You don't know until a woman, you should have very aggressive, you should have much powerful, you should have much stronger fight, right	Resilience
Just until you, you should have as a woman, you need a soft kindness	Resilience
That's a problem	He Yi
It's red book	He Yi
I think that, yeah, sometimes people said, I don't have a hobby	Passion
But when I was younger, I have a lot of a hobby, art, fashion	Passion
But for now, I feel ready to continue to relax and still keep it in full	He Yi
I think my favorite film is Searching for the Sugarman	He Yi
It's a documentary film	He Yi
It's very different	He Yi
I really like it	He Yi
Favorite book, I have a lot of favorite books	He Yi
Um, about for now, I'm reading a book	He Yi
It's a thinking process that's snow and I get a lot of it	He Yi
You won't put all of it in	He Yi
Favorite food	He Yi
No	He Yi
I'm not eating food	He Yi
Um, maybe very good	He Yi
Because I'm strongly pivoted, so I tried to use like a 16-hour plus A-hour eating food, logic, as you just eat with A-hour, and that's built here for your meals	He Yi
And another said, I still keep like three days, no carbon, and one day it has carbon	Health
And I'm very strongly mad at myself	He Yi
I think I have a lot of meetings every day from morning to evening	He Yi
So, I just feel when I work, every place is safe	He Yi
Because I'm always very home-style and meeting at the city every day	He Yi
Satoshi	Legacy
Because no one knows who is actually here	He Yi
But he really changes the work	Innovation, Legacy
I never did think of this question	He Yi
Thank you	He Yi
Maybe not really	He Yi
I thought that we should name	He Yi
He's a female, very powerful lawyer of American	Leadership, Resilience
He just, I should just pass away	He Yi
I forget the name	He Yi
Not really	He Yi
Sometime I just, I'm very normal people	He Yi
I'm just a lot of things	He Yi
I do some writing things and a good excuse	Creativity
