film_title	plot_or_case_details
The Private Life of Sherlock Holmes	The film is divided into two separate, unequal stories. In the first and shorter of the two, in August 1887 Holmes is approached by Rogozhin, on behalf of a famous Russian ballerina, Madame Petrova. Madame Petrova is about to retire and wishes to have a child. She proposes that Holmes be the father, one who she hopes will inherit her beauty and his intellect. Holmes manages to extricate himself by claiming that Watson is his lover, much to the doctor's embarrassment. Back at 221B, Watson confronts Holmes about the reality of the ensuing rumours, and Holmes only states that Watson is "being presumptuous" by asking Holmes whether he has had relationships with women. In the main plot, a Belgian woman, Gabrielle Valladon, is fished out of the River Thames and brought to Baker Street. She begs Holmes to find her missing engineer husband. The resulting investigation leads to a castle in Scotland. Along the way, they encounter a group of monks and some dwarfs, and Watson apparently sights the Loch Ness monster.  They see both canaries and sulfuric acid being carried into the castle, and conclude that the canaries are used to detect chlorine gas produced when the sulfuric acid is mixed with seawater. It turns out that Sherlock's brother Mycroft is involved in building a pre-World War I submarine for the British Navy, with the assistance of Monsieur Valladon.  When taken out for testing, it was disguised as a sea monster. The dwarfs were recruited as crewmen because they took up less space and needed less air. When they meet, Mycroft informs Sherlock that his client is actually a top German spy, Ilse von Hoffmanstal, sent to steal the submersible. The "monks" are German sailors. Queen Victoria arrives for an inspection of the new weapon but objects to its unsportsmanlike nature. She orders the exasperated Mycroft to destroy it, so he conveniently leaves it unguarded for the monks to take (rigging it to sink when it is submerged). Fräulein von Hoffmanstal is arrested, to be exchanged for her British counterpart. In the final scene some months later, Sherlock receives a message from his brother, telling him that von Hoffmanstal had been arrested as a spy in Japan, and subsequently executed by firing squad. Heartbroken, the detective retreats to his room to seek solace in a 7% solution of cocaine.
Pursuit to Algiers	About to leave London for a much-needed holiday, Sherlock Holmes and Dr. Watson receive a cryptic invitation. Intrigued, Holmes accepts and is met by the prime minister of Rovenia [Rovinia], who begs him to escort Prince Nikolas home. His father has been assassinated, and, as his heir, Nikolas is now king. Holmes agrees. Arrangements have already been made for an airplane. When it develops engine problems, a smaller replacement has room only for the prince and Holmes, leaving Watson behind. When Watson protests, Holmes suggests that he follow on a passenger ship bound for Algiers. On the voyage, Watson reads that the airplane has crashed in the Pyrenees and that it is unlikely that there are any survivors. Holmes, however, has an aversion to plans made by others and is aboard the ship with Nikolas. He instructs Watson to introduce the prince to the other passengers as his nephew. Though Watson suspects everyone, from singer Sheila Woodbury to exercise fanatic Agatha Dunham to a secretive pair who later turn out to be archeologists, of being killers, it is not until the ship makes an unscheduled stop at Lisbon that the real Soviet agents come aboard: Gregor, circus knife-thrower Mirko, and a hulking mute named Gubec. First, Mirko tries to kill Holmes by throwing a knife through a porthole, then Gregor substitutes an explosive party favor, but Holmes foils both attempts. Finally, the villains succeed in kidnapping the prince when they dock at Algiers, only for Holmes to reveal that the "prince" was a decoy; the real prince had been posing as a steward, hidden in plain sight the whole time. The decoy Nikolas is later recovered unharmed.
The Return of Sherlock Holmes (1987 film)	In the beginning sequence, a former FBI agent named Carter Morstan receives an unwelcome visit by a man named Small. In the ensuing struggle, a gunshot rings out. Subsequently, a body is wrapped into a carpet and set alight. Jane Watson works as a private detective in Boston, Massachusetts, but faces financial ruin because she approaches her job from a more humane angle, much to the chagrin of her secretary, Ms Houston. Therefore, Jane is eventually forced to sell the English country estate of her ancestor, John Watson. She visits the old house one last time, where a lawyer hands her an envelope with detailed instructions inside. Following those instructions, Jane finds a hidden basement containing a primitive cryogenic capsule with a man lying inside, whom she thaws. The man inside the capsule turns out to be her ancestor's friend and partner, the legendary Sherlock Holmes himself. He had received a booby-trapped gift from a lost brother of his old nemesis, James Moriarty, which infected him with the bubonic plague. In hopes of receiving a cure somewhere in the future, Holmes and Watson had devised the desperate plan of putting Holmes into suspended animation to save Holmes' life. Although she is at a loss to explain the recurrence of the plague to the doctor she seeks out, Jane manages to administer the cure to Holmes. Holmes soon finds himself in a world which has changed a lot in his absence, and lacking an alternative, he accompanies Jane to America, where they are immediately drawn into a mysterious case. Someone has ransacked Jane's office and left a message signed Small. Afterward, they receive a visit from Carter Morstan's daughter Violet, who asks her to investigate her father's murder and states that the message found in Jane's office was meant for her. Jane and Holmes (who uses one of his old aliases, Holmes Sigerson) mean to ask the FBI, but the higher ranks are stone-walling, and soon Holmes and Jane find themselves under the close scrutiny of a young agent named Tobias. When both begin to backtrack three of Morstan's former colleagues and friends, they find one of them dead. With some aid from Tobias, Holmes and Jane finally receive the information they need: Just before their retirement from the FBI, Morstan and his colleagues were involved in a hijacking case and the simultaneous disappearance of several millions of counterfeit money. The perpetrator in the hijacking case was one Peter Small, and when the four agents were suspected of having stolen the counterfeit money, they refused a lie detector test and subsequently quit the FBI. It takes Holmes and Jane not long to guess that the counterfeit money was used to pay off Small, and the four FBI agents had kept the ransom for themselves, so Small exacting revenge on his betrayers seems the most logical motive. But Small seems to stay one step ahead of them: their next candidate of the four is murdered as they try to warn him, and when the last survivor finally leads them to the cache where they have hidden the ransom money, it is already gone. In the end, however, Holmes finally deduces the truth of the scheme. The culprit is actually Carter Morstan himself; soon after he and his partners had hidden the money, he had appropriated all of it for his own. Small had been killed during their struggle, and Morstan decided to kill his comrades in crime before they would discover his duplicity, and then frame Small for the murders. The burglary of Jane's office had been staged both to drive Jane into investigating the case and to hide a bug in the office to keep tabs on Jane and Holmes' progress and beat them to his former partners. With a cunning scheme, partially inspired by the Watergate scandal, Holmes manages to lure Morstan out of hiding and right into the arms of the FBI, resolving the case. The film ends with the prospect of Jane establishing a relationship with Tobias, and Holmes forming an attachment to Violet Morstan.
The Seven-Per-Cent Solution (film)	Dr John H. Watson becomes convinced that his friend Sherlock Holmes is delusional—particularly in his belief that Professor James Moriarty is a criminal mastermind—as a result of his addiction to cocaine. Moriarty visits Watson to complain about being harassed by Holmes. Watson enlists the aid of Sherlock's brother, Mycroft, to trick Holmes into traveling to Vienna, where he will be treated by Sigmund Freud. During the course of his treatment, Holmes investigates a kidnapping case with international implications and Freud uncovers a dark personal secret suppressed in Holmes's subconscious.
Sherlock Gnomes	Sherlock Gnomes and his assistant, Dr. Watson, storm London's Natural History Museum where their nemesis, a pie mascot named Moriarty, is holding gnomes hostage. After a brief battle, Moriarty is seemingly crushed by a dinosaur skeleton. Meanwhile, now happily in love, Miss Montague, Mr. Capulet and their gnomes move from Stratford-upon-Avon to London, into a run down, unkempt new garden. Lady Bluebury and Lord Redbrick announce their retirement and appoint Gnomeo & Juliet as new leaders. The couples's relationship starts to shake when Juliet becomes stressed and determined with fixing the garden up, unintentionally ignoring Gnomeo. In a bid to get her attention, Gnomeo decides to get a Cupid's Arrow orchid for the new garden so Benny shows Gnomeo the closest flower shop in town from an old computer. When Gnomeo gets the orchid in the shop, the burglar alarm goes off after a falling stall, forcing Juliet to rescue him. Once out, the couple have a heated row and Juliet angrily tells Gnomeo: "The garden can't wait and you can!". A signal on the walkie-talkie comes through of Benny saying that there is a monster in their garden. The two race back only to find everyone gone. Suddenly, Sherlock and Watson arrive and find a clue card. Juliet and Gnomeo urge the duo to tell them what's going on and Sherlock reluctantly agrees to let them tag along. A clue from Moriarty, whom Sherlock believes survived their last encounter, leads them to Chinatown. They find the next clue at Curly Fu's Emporium, and escape a group of guards like black cats whom Sherlock had previously offended. They arrive back at the Natural History Museum, where Gnomeo suggests they look inside but Sherlock decides to visit an art gallery instead, as it helps him think. Gnomeo tries to convince him otherwise but is shocked and hurt when Juliet sides with Sherlock. The couple argue and Gnomeo storms off to the museum with Watson in pursuit. Once inside the museum, Gnomeo realises he shouldn't have left Juliet but before he can get back to her, he is kidnapped by a stone gargoyle who seemingly smashes Watson (off screen). Gnomeo is brought to the rest of the gnomes and informed they will be smashed during a fireworks celebration the following evening. Meanwhile, Sherlock figures out the next clue is at the royal park. He and Juliet disguise themselves as a squirrel to get the clue from a dog, and manage to evade the dog on a lawnmower. Gnomeo attempts to free the gnomes, but only he and the Red Goon Gnomes are able to escape before the gargoyles arrive. The next clue leads Juliet and Sherlock to a doll shop where they meet his resentful former fiancée, Irene, who kicks them out, but allows Juliet back in after she distances herself from Sherlock. Irene gives Juliet the clue, which leads her and Sherlock to Traitor's Gate at the Tower of London. They discover Watson, apparently the true mastermind, who reveals that he pretended to be Moriarty to get through to Sherlock, who never showed respect or appreciation for him, and supposedly has the gnomes in custody, only to find them all missing. The Gargoyles reveal that they never worked for Watson, and dispose of Juliet, Sherlock and Watson on a ship. Sherlock realizes the gnomes are being held at the bottom of the Tower Bridge with pie filling, and Moriarty appears, revealing that he really was behind everything (having manipulated Watson into helping him) and plans to smash the gnomes with the raised bridge. After witnessing Sherlock's mistreatment of Watson, he had the Gargoyles feign allegiance with Watson to access his map and identify the location of every gnome in London. Sherlock and Watson agree to work together a final time to save the gnomes, and they and Juliet head to the bridge on a drone. Gnomeo manages to stall the bridge opening with the Red Goon Gnomes dancing, reunites with Juliet and together they defeat the Gargoyles. Although Watson frees the trapped gnomes with soap, Moriarty pursues Sherlock and injures his leg. However, just before he can kill the others, Sherlock throws himself at Moriarty, knocking them both over the bridge. Watson narrowly saves Sherlock with his cane grappling hook, whereupon Moriarty lands in the water and helplessly floats away. Afterward, the gnomes enjoy the fireworks. The following spring, Gnomeo and Juliet happily reveal their completed garden and the gnomes celebrate with Irene and the cat guards in attendance. Sherlock and Watson leave for another adventure, friends, and partners once more.
Sherlock Holmes (1916 film)	A prince, the heir apparent to a large empire, was once the lover of Alice Faulkner's sister. During their love affair, he had written some incriminating letters to her. Alice was given these letters for safekeeping on the deathbed of her sister. Count von Stalburg, the prince's assistant, and Sir Edward Palmer, a high British official, have been given the task of negotiating the restitution of the letters to the prince prior to his upcoming marriage. However, Alice Faulkner is being held captive by the Larrabees, a husband and wife team of crooks who realize the value of the letters and are trying to get them from Alice in order to blackmail the prince. Failing to secure the letters for themselves, they decide to involve Professor Moriarty in the affair. The film unfolds as a battle of wits ensues between Moriarty and Holmes. Dr. Watson is only marginally involved until the final third. Holmes receives more assistance from an associate named Forman and a young bellboy named Billy.
Sherlock Holmes (1922 film)	Cambridge student Prince Alexis is accused of stealing the athletic funds. Friend and fellow student Watson recommends he seek the assistance of classmate Sherlock Holmes. Meanwhile, while honing his observational skills out in the countryside, Holmes falls and is knocked unconscious. A young woman passerby, Alice Faulkner, comes to his aid, much to his delight. Holmes accepts the case, and soon has a suspect, Forman Wells. Wells eventually confesses he took the money to try to get away from Moriarty; Wells is actually the son of a crook being groomed by the criminal mastermind for some later scheme. Fascinated, Holmes meets Moriarty face to face, impudently asking to study him, but of course Moriarty refuses to cooperate. Holmes informs Watson he has found his mission in life: to stop Moriarty. Meanwhile, Alexis's uncle, Count von Stalburg, arrives with important news: both his brothers have been killed in a "motor accident". He is now the Crown Prince, and as such, cannot marry Rose Faulkner, Alice's sister. Heartbroken, Rose commits suicide. Years pass. Holmes is praised in a newspaper for solving a mystery that baffled Scotland Yard. His investigative skills have failed to locate Alice Faulkner, but their paths do cross again. Moriarty is after Rose Faulkner's love letters from the Prince for blackmail. He has had her destitute sister Alice hired as a secretary by "G. Neville Chetwood", actually a henchman named James Larrabee. When the Prince asks Holmes to take the case, he initially refuses, as he holds the Prince responsible for Rose's death, but changes his mind when he learns that Alice is involved. Holmes has Forman Wells infiltrate the Larrabee household as the new butler. Through trickery, Holmes gets Alice to reveal where she has hidden the letters, but oddly, once he has them in his hands, returns them to her, even though she intends to publish them to avenge her sister. He informs Watson that the letters will be the bait to lure Moriarty out of his lair. For his part, Moriarty has become frustrated at being driven further and further underground by Holmes' relentless pursuit of him. He has Alice brought to a "gas chamber" (where he has disposed of others). Holmes walks knowingly into the trap but manages to rescue Alice anyway. Moriarty then sets his entire vast organization in motion to try to kill his nemesis. Holmes is up to the challenge, however. Most of Moriarty's henchmen are captured by the police, and when Moriarty comes in person (in disguise) to do the job, Holmes nabs him too. Holmes then plans his honeymoon with Alice.
Sherlock Holmes (2009 film)	In 1890 London, private detective Sherlock Holmes and his partner Dr. John Watson prevent the ritualistic murder of a woman by Lord Henry Blackwood, who has killed five women. Inspector Lestrade and the police arrest Blackwood. Two months later, Watson, engaged to Mary Morstan, is moving out of 221B Baker Street; he looks forward to not having to deal with Holmes' eccentricities. Blackwood, who claims to have supernatural powers, is sentenced to death by hanging but not before he requests to see Holmes, warning him of three more unstoppable deaths that will cause great changes to the world. Holmes nonetheless dismisses his claims and Blackwood is subsequently hanged. Holmes is visited by former adversary Irene Adler, who asks him to find a missing man named Luke Reordan. After her departure, Holmes follows her as she meets with her secret employer, deducing that the man is a professor and that he intimidates Adler. Meanwhile, a sighting of a living Blackwood and his tomb destroyed from the inside out lead to the belief Blackwood has risen from the grave. Reordan is found dead inside Blackwood's coffin. Following a series of clues from the body, Holmes and Watson find Reordan's hideout and discover experiments attempting to merge science with magic. After Holmes and Watson survive a battle with Blackwood's men when the latter try to torch the lab, Holmes is taken to the Temple of the Four Orders, a secret magical fraternity with considerable political influence. The leaders — Lord Chief Justice Sir Thomas Rotheram, U.S. Ambassador Standish, and Home Secretary Lord Coward — ask Holmes to stop Blackwood, a former member of the society and Sir Thomas' secret illegitimate son. That night, Sir Thomas drowns in his bath as Blackwood watches, and the next night Lord Coward calls a meeting of the Order where he nominates Blackwood to take command in place of Sir Thomas. Blackwood reveals to the group his intention to seize control of the British Empire and reconquer the United States. Standish tries to shoot Blackwood but bursts into flames when he pulls the trigger of his gun, falling out a window to his death. Coward issues an arrest warrant for Holmes, causing him to go into hiding. Holmes studies the rituals of the Order and recognizes their symbols in Blackwood's staging of the murders; from this, he deduces that the targets of the final murder are every elected member of Parliament. With the aid of Lestrade, Holmes fakes his arrest and is taken to see Coward, where he observes evidence on Coward's clothes to deduce Blackwood has conducted a ceremony in the sewers beneath the Palace of Westminster. Holmes escapes. Holmes, Watson, and Adler find Blackwood's men in the sewers guarding a device based on Reordan's experiments, designed to release cyanide gas into the Parliament chambers and kill all but Blackwood's supporters, to whom he has secretly given an antidote. Blackwood comes before Parliament and announces their impending deaths, then attempts to activate the cyanide device by remote control; Adler is able to deactivate it with a controlled explosion. Coward and Blackwood's supporters are apprehended as Blackwood flees Parliament. Holmes chases Adler, who has taken canisters of cyanide from the device, through the sewers, to the top of the incomplete Tower Bridge where they are confronted by Blackwood. Blackwood fights Adler and forces her off the bridge into the river, taking the canisters from her. He and Holmes then fight, as the latter reveals he has deduced how all of Blackwood's supposed supernatural feats were merely the work of science and trickery. After the scuffle, a nearby piece of equipment collapses, causing Blackwood to be ensnared by chains and hanged as he plummets off the bridge. Adler has landed on a scaffolding platform and tells Holmes that her employer is Professor Moriarty and that the professor is not to be underestimated. As Watson moves out of 221B, a police constable reports to Holmes that a dead officer was found near Blackwood's device. Moriarty used the confrontations with Adler and Blackwood as a diversion while he took a key component, based on the infant science of radio, from the machine. Holmes considers the case reopened.
Sherlock Holmes (2010 film)	On December 29, 1940, during the London Blitz, an elderly Dr. John Watson tells his nurse the tale of an unrecorded case he shared with his friend Sherlock Holmes. On May 19, 1882, a royal treasury ship is destroyed by a monstrous giant octopus on the coast of Newhaven. Holmes and Watson investigate the shipwreck and do not believe the first-hand accounts of the sole survivor of the attack, but nonetheless investigate. Inspector Lestrade states that he has recently had contact with Holmes' estranged brother Thorpe, a former partner of Lestrade's who was paralyzed during a bank robbery seven years prior. In Whitechapel, a young man is killed by a dinosaur. Watson is skeptical until he and Holmes discover the creature on their morning constitutional. Finding escape, several more clues lead Holmes to deduce that the monsters are artificial, built by a criminal genius to acquire resources. On this case, the dinosaur steals a water pump operating a fountain and rolls of copper wire, presumably so Spring-Heeled Jack can create another monster. The octopus that destroyed the ship earlier is linked to the dinosaur because they are both similarly "exceptionally improbable". Lestrade accompanies Holmes and Watson during their investigation. On one of their leads, Lestrade ends up missing. Holmes's reasoning leads him and Watson to an old castle in Helmsmouth he and his brother visited as children. They come across another monster, a masked mechanical man: Spring-Heeled Jack. Spring-Heeled Jack is revealed to be Holmes' brother, Thorpe, who also assumed the identity of a patient of Watson's. Inesidora Ivory, his accomplice, is with him. Thorpe explains that he built a mechanical suit to cure his paralysis, and he deduced that the crippling bullet ricocheted off a doorframe, fired by Lestrade. He plans to destroy London, assassinate Queen Victoria, and force Lestrade to claim responsibility. Ivory is revealed to be one of Thorpe's creations and his lover, and she carries a bomb in her workings that will detonate when she reaches Buckingham Palace, while Thorpe pilots his most complex invention yet, a fire-breathing dragon in which he pilots and holds Lestrade hostage. Watson is sent to stop Ivory from killing the Queen, while Holmes pilots another one of Thorpe's flying inventions in an attempt to stop his brother. Thorpe's dragon sets fire to Parliament and Westminster Abbey. Ivory is deactivated by Watson moments before the explosion can take place and the dragon is sent crashing in the garden outside the Palace. Thorpe, crippled again, crawls from the wreckage and tries to shoot Watson, before he himself is shot by Sherlock Holmes. Holmes proves Lestrade was not responsible for Thorpe's crippling. Lestrade takes credit for saving the Queen and Holmes and Watson vow never to speak of the events again. In the present time, Watson expires peacefully and his nurse visits his grave. Nearby, Ivory is visiting the grave of Thorpe Holmes.
Sherlock Holmes and the Baskerville Curse	The film tells about Holmes' adventure, based on the legend of the Baskerville family's hound.
Sherlock Holmes and the Case of the Silk Stocking	In November 1903, young women are being killed in London, each with a silk stocking stuffed down her throat. Watson seeks help from the retired and disenchanted Holmes, who determines that the victims are well-born ladies, not prostitutes. Evidence found includes a thumbprint, a pair of ladies' dancing shoes, broken glass, a strong smell of chloroform and a silk stocking removed from a victim's gullet. It seems that the killer has a foot fetish. Holmes questions a survivor - a young girl who was apparently set free by her captor because she has a club foot - and arranges for her to "accidentally" see the footman that he suspects is the killer, despite his ironclad alibis. The girl identifies him as her kidnapper, but the thumbprint clears the suspect. Holmes then baits a trap for the killer: he uses the sister of a victim and has her perform in a classical tableau at an event attended by the King and Queen. Her Grecian-Roman costume is revealing, and her sandals expose her feet. After the performance, she walks away to be alone; the suspect drugs her and is quickly caught by Holmes and placed in custody. The sister returns home and is tucked into bed by her father. However, the suspect's thumbprint doesn't match the evidence. Holmes suspects the killer has an identical twin, and that the real killer is still on the loose. Holmes telephones the father of the "bait" sister to warn him, but the real killer has kidnapped her from her bed just minutes earlier. The viewer sees the killer carrying her over his shoulder as blood drips from her face, where he cut her with broken glass. The police force the other twin to lead them to his brother, but he escapes the police. Holmes finds the killer and his victim just in time; the young woman has a silk stocking tied around her neck, and Watson has to cut it and perform something that looks like CPR, which was known in a similar form from the late-18th century but did not come into standardised common usage until the mid-20th century. Holmes gets the killer twin to confess that he wanted his victims' attention because they looked at him while in captivity. Both twins are then taken into custody. In the end, Watson marries his fiancée Jenny Vandeleur, an American psychoanalyst who had aided in the investigation. They leave on honeymoon, and Holmes is left sitting alone at the table.
Sherlock Holmes and the Deadly Necklace	The film's plot has Sherlock Holmes and Dr. Watson attempting to recover a stolen necklace, formerly worn by Cleopatra, from Professor Moriarty. Holmes tries to convince the police that the professor is a criminal, but his pleadings fall on deaf ears.
Sherlock Holmes and the Leading Lady	Sherlock Holmes and Doctor Watson are elderly gentlemen in 1910 Vienna. Both are involved independently with foiling Balkan terrorists. They reunite by chance with “The Woman”: actress Irene Adler. They save Emperor Franz Joseph I of Austria from an assassination at the opera house and thus delay the onset of World War I. The film also featured a number of historical characters, including Eliot Ness and Sigmund Freud.
Sherlock Holmes Baffled	Sherlock Holmes enters his drawing room to find it being burgled, but on confronting the villain is surprised when the latter disappears. Holmes initially attempts to ignore the event by lighting a cigar, but upon the thief's reappearance, Holmes tries to reclaim the sack of stolen goods, drawing a pistol from his dressing gown pocket and firing it at the intruder, who vanishes. After Holmes recovers his property, the bag vanishes from his hand into that of the thief, who promptly disappears through a window. At this point, the film ends abruptly with Holmes looking "baffled".[1][2]
Sherlock Holmes in New York	The great detective Sherlock Holmes and his trusted companion Dr. John Watson travel to New York City to investigate a recent threat made by Professor Moriarty. During their investigation, Holmes and Watson are reunited with their old acquaintance Irene Adler, now a popular music-hall singer, who reveals that Moriarty has kidnapped her son Scott. Moriarty has also left a note for Holmes informing him that he will be approached by the police soon for aid in solving a crime, and should he not refuse the case– Moriarty also informs him that he should provide no reason for his refusal – the boy will die. Holmes is subsequently contacted by the NYPD regarding the recent apparent theft of the international gold exchange at the New York bank, with the entire vault of gold bars having vanished seemingly overnight, the theft only secret until a planned transaction between Italy and Germany in three days' time. To protect the child, Holmes refuses the case, but a chance comment by Watson inspires Holmes to shift his attention to finding Scott to remove the blackmail card. While Watson departs with Irene disguised as Holmes to draw away the agent Moriarty has assigned to watch him, Holmes determines that Scott was tricked into cooperating with the kidnapping as an apparent joke, allowing him to find the kidnapper. Investigating the vaults, and quickly ruling as impossible the actual removal of many tons of gold via a narrow tunnel in the time available, Holmes swiftly determines what has taken place; based on the speed of the lift's descent, it should take them 45 seconds to reach the vaults, but they stopped after only 42 seconds. From this, Holmes deduces that Moriarty had an empty, duplicate vault built a few meters above the real one, subsequently planting iron bars to stop the lift from reaching the real vault. While everyone puzzled over how the bars of gold were stolen from the false vault, Moriarty would actually be stealing them from the real one below.  In a final confrontation in New York's underground, Moriarty escapes. The case is solved. As Holmes and Adler say their goodbyes, Adler comments that her son has a keen intellect and a certain knack for solving puzzles, implying that Holmes may be his father. The two nevertheless part ways with Adler giving Holmes a picture of her son to keep.
Sherlock Holmes in Washington	Alfred Pettibone, a British secret agent carrying a vital secret document, is murdered on his way to deliver it in the U.S.  The British government turns to Sherlock Holmes for help. He deduces that Pettibone converted the document to microfilm. Avoiding an assassination attempt, he hurries to Washington, D.C., with Dr. Watson to retrieve it before it falls into the hands of an "international spy ring". Holmes is certain that the spies do not yet possess the document, as people who were in contact with Pettibone on his journey have been harassed. Pettibone's body was then delivered to Holmes by the spies as a means to throw Holmes off the track. Before his death, the agent managed to pass the microfilm, hidden inside a "V for Victory" matchbook, into the unwitting hands of Washington debutante and bride-to-be Nancy Partridge. The matches get passed from hand to hand at a party, unknowingly, and end up in the inadvertent possession of the chief spy, Heinrich Hinkel (known as the seemingly respectable Richard Stanley in Washington), when he has Partridge kidnapped. Holmes tracks down the ring to an antique shop, where he confronts Hinkel. During their cat-and-mouse conversation, he even tells the spy that "the man who has it doesn't know he has it", with the matchbook in plain sight. Holmes is taken prisoner, but just as he and Partridge are about to be murdered, the police, summoned by Watson by prior arrangement with Holmes, break-in and, after a gunfight, rescue the pair. Hinkel gets away, along with the matchbook, however. Holmes races to the office of Senator Henry Babcock, having led Hinkel to believe the microfilm is under a stamp of a letter in the senator's possession. Holmes arrives first and, as Hinkel eavesdrops, reveals the importance of the letter. Hinkel takes the letter at gunpoint, only to have the police capture him. Holmes then takes the matches and sets fire to the letter, before revealing that the microfilm was in the matchbook all along.
Sherlock Holmes: A Game of Shadows	Months after the events of the first movie, Irene Adler delivers a package to Dr. Hoffmanstahl, his payment for completing a recent surgery, while Hoffmanstahl hands Adler a letter. Hoffmanstahl opens the package, triggering a bomb.  Sherlock Holmes takes the letter and places the bomb in a sarcophagus to explode, while Adler and Hoffmanstahl escape. Hoffmanstahl is subsequently assassinated, while Moriarty, deeming Adler compromised, poisons and kills her. Holmes discloses to Dr. John Watson at 221B Baker Street that he has connected seemingly unrelated murders, terrorist attacks, and business acquisitions to Moriarty. After meeting with his brother Mycroft at Watson's bachelor party, Holmes meets with Romani fortune-teller Madame Simza, the intended recipient of the letter he took from Adler, sent by her brother René. Holmes defeats an assassin sent to kill Simza and she departs. After the wedding of Watson and Mary Morstan, Holmes meets Moriarty for the first time. Moriarty taunts Holmes about murdering Adler and indicates he will kill Watson and Mary due to Holmes' interference. Holmes vows to defeat him. Moriarty's men ambush Watson and Mary on a train to their honeymoon in Brighton. Holmes throws Mary from the train into a river, and she is rescued by Mycroft. After defeating Moriarty's men, Holmes and Watson travel to Paris and locate Simza. Holmes tells Simza that she has been targeted because René is working for Moriarty and may have told her his plans. Simza takes the pair to the headquarters of an anarchist group to which she and René belonged; the anarchists have been forced to plant bombs for Moriarty. The trio follows Holmes' deduction that the bomb is in the Paris Opera. However, the bomb is in a nearby hotel; its explosion kills several businessmen. The bomb was a cover for the assassination of Alfred Meinhard by Sebastian Moran, expert sharpshooter and henchman to Professor Moriarty. Meinhard's death grants Moriarty ownership of Meinhard's arms factory in Heilbronn. The trio follows Moriarty to Germany. At the factory, Moriarty captures, interrogates, and tortures Holmes while Watson fights Moran. Holmes spells out Moriarty's plot, revealing that the Professor acquired shares in multiple war-profiteering companies and intends to instigate a major world war to make himself a fortune. Watson uses a cannon to destroy the watchtower in which Moran is concealed. The structure collapses into the warehouse where Moriarty is holding Holmes captive. Watson, Simza, and Holmes escape and Holmes deduces that Moriarty's final target will be a peace summit in Switzerland, creating an international incident. At the summit, Holmes deduces that René is the assassin and is disguised as one of the ambassadors, having been given radical reconstructive surgery by Hoffmanstahl. Holmes and Moriarty meet on a balcony to discuss their plans over a game of chess. Watson and Simza stop René's assassination attempt; René is killed by Moran, who flees. Despite his war being averted, Moriarty remains confident in his victory, predicting to Holmes that the nations of Europe will inevitably go to war with one another regardless of Moriarty's manipulations. Holmes reveals that, while being tortured by Moriarty, he replaced the professor's personal diary that contained his plans and financing with a duplicate. The original was sent to Mary, who decrypted the code using a book Holmes had noticed in Moriarty's office, before passing the information to Inspector Lestrade, who seizes Moriarty's assets and donates his fortune to charities that help war widows and orphans. Holmes and Moriarty anticipate a fight, and both realise that Moriarty will win due to Holmes' injured shoulder. Out of options and with Moriarty vowing to kill Watson and Mary, Holmes grabs Moriarty and drags him over the balcony, just as Watson shows up, and the two fall into the Reichenbach Falls below, to their deaths. Following Holmes's funeral, Watson and Mary prepare to have their belated honeymoon when Watson receives a package containing a breathing device of Mycroft's that Holmes expressed a liking for before the summit. Realising that Holmes may have survived, Watson leaves his office to ask Mary about the delivery man. Holmes, having concealed himself in Watson's office, reads Watson's memoirs on the typewriter and adds a question mark after the words "The End".
The Sleeping Cardinal	In London, young diplomatic attaché Ronnie Adair, is playing bridge when he is called to a meeting with Professor Moriarty and blackmailed into transporting counterfeit money to Paris in his diplomatic pouch. Adair's concerned sister calls for the assistance of Sherlock Holmes and Dr. Watson to investigate the reasons for her brother's gambling excesses and depressed moods. After Adair dies from an apparent suicide, Holmes deduces Moriarty's involvement from a trail of clues.
